Step,Prey,Predators
0,41,10
1,41,10
2,43,6
3,45,6
4,50,6
5,52,4
6,55,5
7,62,2
8,71,2
9,77,1
10,88,1
11,102,1
12,121,0
13,135,0
14,149,0
15,169,0
16,193,0
17,221,0
18,245,0
19,266,0
20,305,0
21,348,0
22,393,0
23,449,0
24,513,0
25,580,0
26,647,0
27,723,0
28,812,0
29,920,0
30,1025,0
31,1138,0
32,1278,0
33,1411,0
34,1572,0
35,1748,0
36,1978,0
37,2237,0
38,2237,0
39,2237,0
40,2237,0
41,2237,0
42,2237,0
43,2237,0
44,2237,0
45,2237,0
46,2237,0
47,2237,0
48,2237,0
49,2237,0
50,2237,0
51,2237,0
52,2237,0
53,2237,0
54,2237,0
55,2237,0
56,2237,0
57,2237,0
58,2237,0
59,2237,0
60,2237,0
61,2237,0
62,2237,0
63,2237,0
64,2237,0
65,2237,0
66,2237,0
67,2237,0
68,2237,0
69,2237,0
70,2237,0
71,2237,0
72,2237,0
73,2237,0
74,2237,0
75,2237,0
76,2237,0
77,2237,0
78,2237,0
79,2237,0
80,2237,0
81,2237,0
82,2237,0
83,2237,0
84,2237,0
85,2237,0
86,2237,0
87,2237,0
88,2237,0
89,2237,0
90,2237,0
91,2237,0
92,2237,0
93,2237,0
94,2237,0
95,2237,0
96,2237,0
97,2237,0
98,2237,0
99,2237,0
100,2237,0
101,2237,0
102,2237,0
103,2237,0
104,2237,0
105,2237,0
106,2237,0
107,2237,0
108,2237,0
109,2237,0
110,2237,0
111,2237,0
112,2237,0
113,2237,0
114,2237,0
115,2237,0
116,2237,0
117,2237,0
118,2237,0
119,2237,0
120,2237,0
121,2237,0
122,2237,0
123,2237,0
124,2237,0
125,2237,0
126,2237,0
127,2237,0
128,2237,0
129,2237,0
130,2237,0
131,2237,0
132,2237,0
133,2237,0
134,2237,0
135,2237,0
136,2237,0
137,2237,0
138,2237,0
139,2237,0
140,2237,0
141,2237,0
142,2237,0
143,2237,0
144,2237,0
145,2237,0
146,2237,0
147,2237,0
148,2237,0
149,2237,0
150,2237,0
151,2237,0
152,2237,0
153,2237,0
154,2237,0
155,2237,0
156,2237,0
157,2237,0
158,2237,0
159,2237,0
160,2237,0
161,2237,0
162,2237,0
163,2237,0
164,2237,0
165,2237,0
166,2237,0
167,2237,0
168,2237,0
169,2237,0
170,2237,0
171,2237,0
172,2237,0
173,2237,0
174,2237,0
175,2237,0
176,2237,0
177,2237,0
178,2237,0
179,2237,0
180,2237,0
181,2237,0
182,2237,0
183,2237,0
184,2237,0
185,2237,0
186,2237,0
187,2237,0
188,2237,0
189,2237,0
190,2237,0
191,2237,0
192,2237,0
193,2237,0
194,2237,0
195,2237,0
196,2237,0
197,2237,0
198,2237,0
199,2237,0
